iter	Passed	Remaining
0	86	8544
1	197	9697
2	246	7964
3	361	8669
4	386	7352
5	474	7436
6	570	7583
7	675	7771
8	770	7789
9	794	7154
10	890	7208
11	1017	7460
12	1117	7480
13	1221	7502
14	1322	7494
15	1424	7479
16	1517	7408
17	1612	7346
18	1718	7328
19	1810	7241
20	1906	7173
21	2010	7128
22	2102	7039
23	2194	6949
24	2299	6899
25	2389	6801
26	2475	6692
27	2577	6628
28	2665	6526
29	2749	6415
30	2852	6348
31	2934	6236
32	3018	6128
33	3119	6055
34	3215	5972
35	3307	5879
36	3412	5810
37	3511	5729
38	3704	5793
39	3887	5831
40	4017	5781
41	4105	5669
42	4194	5559
43	4293	5465
44	4450	5439
45	4628	5433
46	4813	5428
47	5011	5429
48	5186	5398
49	5304	5304
50	5394	5182
51	5479	5058
52	5571	4941
53	5667	4828
54	5759	4712
55	5916	4648
56	6009	4533
57	6101	4418
58	6207	4313
59	6301	4200
60	6394	4088
61	6487	3976
62	6575	3861
63	6665	3749
64	6771	3646
65	6860	3534
66	6948	3422
67	7052	3318
68	7139	3207
69	7269	3115
70	7415	3028
71	7527	2927
72	7618	2817
73	7705	2707
74	7805	2601
75	7896	2493
76	7987	2385
77	8092	2282
78	8178	2173
79	8266	2066
80	8373	1964
81	8459	1856
82	8546	1750
83	8652	1648
84	8738	1542
85	8823	1436
86	8926	1333
87	9016	1229
88	9100	1124
89	9192	1021
90	9285	918
91	9374	815
92	9473	713
93	9557	610
94	9644	507
95	9751	406
96	9841	304
97	9930	202
98	10034	101
99	10125	0
